,curso,regime,Media_Nota
244,Saúde Ambiental,Diurno,132.9
245,Enfermagem Veterinária,Diurno,143.14
246,Relações Humanas e Comunicação Organizacional,Diurno,142.51
247,Produção Multimédia em Educação,Diurno,133.12
248,Ciências Farmacêuticas (Preparatórios),Diurno,145.6
249,História,Diurno,168.32
250,Higiene Oral,Diurno,155.06
251,Engenharia e Gestão Industrial,Diurno,173.46
252,Medicina Veterinária,Diurno,170.84
253,Ciência Política e Relações Internacionais,Diurno,177.18
254,Informação Turística,Diurno,133.77
255,História e Arqueologia,Diurno,151.45
256,Gestão da Qualidade,Diurno,140.29
257,Desporto,Diurno,139.49
258,Biologia e Geologia,Diurno,144.47
259,Ciclo Básico de Medicina,Diurno,178.55
260,Biologia e Biotecnologia Alimentar,Diurno,129.29
261,Tecnologias Digitais e Saúde,Diurno,141.08
262,Engenharia Biomédica,Diurno,173.55
263,Audiologia,Diurno,135.89
264,Contabilidade e Administração,Diurno,156.48
265,Línguas e Comunicação Intercultural,Diurno,135.61
266,Geologia,Diurno,138.44
267,Gastronomia e Artes Culinárias,Diurno,137.27
268,Optometria e Ciências da Visão,Diurno,136.51
269,Imagem Médica e Radioterapia,Diurno,151.83
270,Tecnologia e Produto de Moda Sustentável,Diurno,136.7
271,Contabilidade,Diurno,147.3
272,Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),Diurno,157.3
273,Terapia da Fala,Diurno,144.86
274,Automação e Sistemas de Produção,Diurno,141.2
275,Fisiologia Clínica,Diurno,153.2
276,Ciências do Mar,Diurno,140.78
277,Engenharia Eletrotécnica e de Computadores,Noturno,159.1
278,"Turismo, Território e Patrimónios",Diurno,147.73
279,Educação Ambiental e Turismo de Natureza,Diurno,130.04
280,Criminologia,Diurno,177.22
281,Engenharia Biológica,Diurno,173.72
282,Engenharia Naval e Oceânica,Diurno,176.96
283,Economia (ensino em Inglês),Diurno,176.6
284,Medicina Dentária,Diurno,178.51
285,Gestão de Empresas,Diurno,151.5
286,Produção Alimentar em Restauração,Diurno,139.78
287,Engenharia Química,Diurno,160.6
288,Design,Diurno,166.98
289,Tradução e Interpretação: Português/Chinês - Chinês/Português,Diurno,153.47
290,Marketing,Diurno,154.06
291,Reabilitação Psicomotora,Diurno,141.91
292,Bioengenharia,Diurno,176.47
293,Engenharia Química e Biológica,Diurno,152.88
294,Agronomia,Pós-Laboral,142.5
295,Fiscalidade,Diurno,146.35
296,Design Gráfico,Diurno,167.97
297,Recursos Humanos,Diurno,167.94
298,Informática e Gestão de Empresas,Diurno,166.38
299,Línguas Aplicadas,Diurno,171.58
300,Engenharia Geotécnica e Geoambiente,Diurno,135.23
301,Engenharia de Sistemas,Diurno,155.36
302,Biologia Aplicada,Diurno,161.06
303,Relações Lusófonas e Língua Portuguesa,Diurno,131.1
304,Restauração e Catering,Diurno,129.33
305,"Desporto, Condição Física e Saúde",Diurno,133.38
306,Design de Produto,Diurno,168.89
307,Contabilidade e Gestão Pública,Diurno,143.15
308,Matemática Aplicada à Gestão do Risco,Diurno,181.48
309,Assessoria e Tradução,Diurno,164.31
310,Atividade Física e Estilos de Vida Saudáveis,Diurno,130.18
311,Publicidade e Marketing,Pós-Laboral,156.19
312,Marketing e Negócios Internacionais,Diurno,155.91
313,Educação Social Gerontológica,Diurno,133.26
314,"Gestão de Negócios Internacionais (Curso Europeu, ensino em Inglês)",Diurno,134.4
315,Gestão do Turismo e da Hospitalidade,Diurno,123.4
316,Jornalismo,Diurno,164.1
317,Estudos Gerais,Diurno,163.6
318,Literatura e Estudos Interartes,Diurno,164.7
319,Gestão e Biociências,Diurno,131.16
320,Geografia e Planeamento,Diurno,147.33
321,Engenharia Geoespacial,Diurno,136.22
322,Arte Multimédia,Diurno,161.22
323,Engenharia Biomédica e Biofísica,Diurno,165.66
324,Animação Socioeducativa,Pós-Laboral,124.79
325,Educação Ambiental,Diurno,138.13
326,Sistemas e Tecnologias de Informação,Diurno,174.06
327,Gestão de Recursos Humanos,Pós-Laboral,142.42
328,Tecnologia e Gestão Ambiental,Diurno,125.04
329,Design de Animação,Diurno,156.11
330,Matemática Aplicada,Diurno,175.4
331,Arte e Design,Diurno,153.6
332,Engenharia Informática Médica,Diurno,141.76
333,Design Audiovisual,Diurno,163.64
334,Comunicação Empresarial,Diurno,170.16
335,Artes Plásticas e Multimédia,Diurno,148.01
336,Ciência de Dados,Pós-Laboral,153.81
337,Engenharia em Desenvolvimento de Jogos Digitais,Diurno,145.76
338,Engenharia de Sistemas Informáticos,Pós-Laboral,147.63
339,Administração Pública,Pós-Laboral,142.13
340,Ciência de Dados,Diurno,170.43
341,Ciências da Computação,Diurno,159.16
342,Engenharia de Computadores e Informática,Diurno,158.57
343,Engenharia Geológica,Diurno,144.83
344,Educação,Diurno,156.33
345,Design e Marketing de Moda,Diurno,179.54
346,Engenharia Florestal e dos Recursos Naturais,Diurno,134.37
347,Design Gráfico e Multimédia,Diurno,159.45
348,Ciências Florestais e Recursos Naturais,Diurno,124.07
