,curso,frequencia
295,"Turismo, Território e Patrimónios",20
296,Tecnologias e Design de Multimédia,20
297,Gestão e Planeamento em Turismo,20
298,Educação Social Gerontológica,20
299,Automação e Sistemas de Produção,19
300,Biologia Humana,19
301,Ortóptica e Ciências da Visão,19
302,Património Cultural e Arqueologia,19
303,Ciências do Mar,19
304,Tradução e Interpretação: Português/Chinês - Chinês/Português,19
305,Língua Gestual Portuguesa,19
306,Gestão Sustentável das Cidades,19
307,Comunicação Social: Jornalismo e Comunicação Empresarial,19
308,Design e Tecnologia das Artes Gráficas,19
309,Gestão das Organizações Desportivas,18
310,Engenharia Eletrotécnica - Sistemas Elétricos de Energia,18
311,Ciência e Tecnologia Animal,17
312,Línguas e Comunicação Intercultural,17
313,Ciências Biomédicas e da Saúde,17
314,"Tecnologias Digitais, Edifícios e Construção Sustentável",17
315,Matemática Aplicada e Tecnologias Digitais,17
316,Estudos Clássicos,17
317,Ortóptica,17
318,Proteção Civil e Gestão do Território,17
319,Engenharia Informática (Curso Europeu),17
320,Atividade Física e Estilos de Vida Saudáveis,17
321,Marketing Turístico,17
322,Línguas Estrangeiras: Inglês e Espanhol,17
323,Engenharia Eletrotécnica,16
324,Computação Criativa e Realidade Virtual,16
325,Estudos Portugueses e Espanhóis,16
326,Engenharia Zootécnica,16
327,Desenvolvimento de Software e Aplicações,16
328,Gestão da Restauração e Catering,16
329,Gestão Portuária,16
330,Gestão da Qualidade,15
331,Design de Jogos Digitais,15
332,Engenharia de Automação Industrial,15
333,Design de Produto - Cerâmica e Vidro,15
334,Gestão de Eventos,15
335,Matemática Aplicada à Tecnologia e à Empresa,14
336,Engenharia Eletromecânica,14
337,Cultura e Transformação Digital,14
338,Gestão Turística e Hoteleira,14
339,Engenharia Mecatrónica,13
340,Tradução e Interpretação em Língua Gestual Portuguesa,13
341,Ciências da Educação e da Formação,13
342,Tecnologias Digitais e Automação,13
343,Engenharia de Máquinas Marítimas,13
344,Engenharia Eletrónica e Telecomunicações e de Computadores,12
345,Segurança Informática em Redes de Computadores,12
346,Secretariado e Comunicação Empresarial,12
347,Gestão Marinha e Costeira,12
348,Tradução e Interpretação de Língua Gestual Portuguesa,12
349,Informática Industrial,12
350,Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),11
351,"Meteorologia, Oceanografia e Clima",11
352,Farmácia Biomédica,11
353,Animação Turística,11
