,codigo_curso,curso,codigo_estabelecimento,estabelecimento,escola,regime_pos_laboral,regime_noturno,total_candidatos,total_colocados
532,9752,Enologia,3041,Instituto Politécnico de Bragança,Escola Superior Agrária de Bragança,0,0,6,0
533,9015,Bioquímica,300,Universidade de Aveiro,D,0,0,477,60
534,9081,Economia,1000,Universidade do Minho,D,0,0,700,84
535,9019,Ciência Política,1000,Universidade do Minho,D,0,0,340,31
536,L101,Biotecnologia Medicinal,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,227,32
537,9252,Tradução,300,Universidade de Aveiro,D,0,0,160,35
538,L209,Engenharia Eletrotécnica e de Computadores,300,Universidade de Aveiro,D,0,0,384,56
539,9688,Biologia Aplicada,1000,Universidade do Minho,D,0,0,268,57
540,9104,Engenharia e Gestão Industrial,1000,Universidade do Minho,D,0,0,422,68
541,9238,Serviço Social,507,Universidade de Coimbra,Faculdade de Psicologia e de Ciências da Educação,0,0,250,33
542,9379,Ciências do Ambiente,1000,Universidade do Minho,D,0,0,159,40
543,9099,Engenharia do Ambiente,300,Universidade de Aveiro,D,0,0,46,8
544,9005,Animação Sociocultural,3151,Instituto Politécnico de Setúbal,Escola Superior de Educação,0,0,156,32
545,L344,Guias de Natureza e Património,140,Universidade dos Açores,Faculdade de Ciências Agrárias e do Ambiente,0,0,19,7
546,9141,Física,300,Universidade de Aveiro,D,0,0,79,9
547,L306,Relações Humanas e Comunicação Organizacional,3101,Instituto Politécnico de Leiria,Escola Superior de Educação e Ciências Sociais,1,0,49,21
548,9219,Psicologia,300,Universidade de Aveiro,D,0,0,377,33
549,9759,Fiscalidade,3031,Instituto Politécnico do Cávado e do Ave,Escola Superior de Gestão,0,0,189,31
550,9917,Estudos Portugueses,1000,Universidade do Minho,D,0,0,107,32
551,9853,Educação Básica,300,Universidade de Aveiro,D,0,0,445,50
552,9563,Desporto,3036,Instituto Politécnico do Cávado e do Ave,"Escola Superior de Desporto, Bem-Estar e Sistemas Biomédicos",0,0,328,12
553,9096,Engenharia de Materiais,300,Universidade de Aveiro,D,0,0,91,15
554,9223,Química,300,Universidade de Aveiro,D,0,0,46,6
555,9195,Línguas e Literaturas Europeias,1000,Universidade do Minho,D,0,0,297,60
556,8442,Gestão das Atividades Turísticas,3139,Instituto Politécnico do Porto,Escola Superior de Hotelaria e Turismo,1,0,50,23
557,9125,Engenharia Química,300,Universidade de Aveiro,D,0,0,164,39
558,9098,Engenharia de Telecomunicações e Informática,1000,Universidade do Minho,D,0,0,166,36
559,L298,"Meteorologia, Oceanografia e Clima",300,Universidade de Aveiro,D,0,0,48,17
560,L254,Multimédia e Tecnologias da Comunicação,300,Universidade de Aveiro,D,0,0,401,78
561,9127,Engenharia Têxtil,1000,Universidade do Minho,D,0,0,57,11
