,codigo_curso,curso,codigo_estabelecimento,estabelecimento,escola,regime_pos_laboral,regime_noturno,total_candidatos_1op,total_colocados_1op,proporcao_colocados
89,9720,"Comunicação, Cultura e Organizações",1306,Universidade da Madeira,Faculdade de Artes e Humanidades,0,0,46,24,52.2
90,9813,Medicina,506,Universidade de Coimbra,Faculdade de Medicina,0,0,347,181,52.2
91,9056,Contabilidade,3182,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Viseu,0,0,23,18,78.3
92,8464,Gestão da Distribuição e Logística,3164,Instituto Politécnico de Viana do Castelo,Escola Superior de Ciências Empresariais,0,0,7,7,100.0
93,8086,Medicina Veterinária (Preparatórios),140,Universidade dos Açores,Faculdade de Ciências Agrárias e do Ambiente,0,0,25,13,52.0
94,9133,Estudos Clássicos,505,Universidade de Coimbra,Faculdade de Letras,0,0,7,4,57.1
95,9500,Enfermagem,3013,Universidade de Aveiro,Escola Superior de Saúde de Aveiro,0,0,92,45,48.9
96,9152,Gestão de Empresas,3241,Instituto Politécnico de Tomar,Escola Superior de Gestão de Tomar,0,0,21,21,100.0
97,9129,Engenharia Zootécnica,3185,Instituto Politécnico de Viseu,Escola Superior Agrária de Viseu,0,0,2,2,100.0
98,9709,Ciências e Tecnologia do Ambiente,3182,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Viseu,0,0,1,1,100.0
99,9108,Engenharia Eletrónica e Telecomunicações e de Computadores,3118,Instituto Politécnico de Lisboa,Instituto Superior de Engenharia de Lisboa,0,0,12,12,100.0
100,9494,Ciências Farmacêuticas,400,Universidade da Beira Interior,D,0,0,66,40,60.6
101,9773,Jornalismo e Comunicação,505,Universidade de Coimbra,Faculdade de Letras,0,0,88,30,34.1
102,L252,Línguas e Comunicação Intercultural,201,Universidade do Algarve,Faculdade de Ciências Humanas e Sociais,0,0,17,16,94.1
103,9548,Medicina Dentária,1113,Universidade do Porto,Faculdade de Medicina Dentária,0,0,217,35,16.1
104,9240,Sociologia,204,Universidade do Algarve,Faculdade de Economia,0,0,18,12,66.7
105,9219,Psicologia,201,Universidade do Algarve,Faculdade de Ciências Humanas e Sociais,0,0,161,23,14.3
106,9084,Educação Social,3131,Instituto Politécnico do Porto,Escola Superior de Educação,0,0,117,29,24.8
107,9242,Solicitadoria,3138,Instituto Politécnico do Porto,Escola Superior de Tecnologia e Gestão,0,0,72,18,25.0
108,9025,Ciências da Cultura,400,Universidade da Beira Interior,D,0,0,4,3,75.0
109,9147,Gestão,1104,Universidade do Porto,Faculdade de Economia,0,0,561,192,34.2
110,9119,Engenharia Informática,3163,Instituto Politécnico de Viana do Castelo,Escola Superior de Tecnologia e Gestão,0,0,73,53,72.6
111,8152,Ortoprotesia,7220,Instituto Politécnico de Lisboa,Escola Superior de Tecnologia da Saúde de Lisboa,0,0,10,7,70.0
112,9112,Engenharia Eletrotécnica e de Computadores,3102,Instituto Politécnico de Leiria,Escola Superior de Tecnologia e Gestão,0,0,11,11,100.0
113,9084,Educação Social,3142,Instituto Politécnico de Santarém,Escola Superior de Educação de Santarém,0,0,40,25,62.5
114,9494,Ciências Farmacêuticas,605,Universidade de Évora,Escola de Saúde e Desenvolvimento Humano,0,0,24,13,54.2
115,9238,Serviço Social,3101,Instituto Politécnico de Leiria,Escola Superior de Educação e Ciências Sociais,0,0,39,20,51.3
116,9797,Relações Humanas e Comunicação Organizacional,3101,Instituto Politécnico de Leiria,Escola Superior de Educação e Ciências Sociais,0,0,40,22,55.0
117,8264,Artes Visuais e Tecnologias Artísticas,3131,Instituto Politécnico do Porto,Escola Superior de Educação,0,0,39,16,41.0
118,9205,Marketing,3182,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Viseu,0,0,44,25,56.8
119,9023,Ciências da Comunicação,400,Universidade da Beira Interior,D,0,0,62,26,41.9
120,8015,Solicitadoria,3117,Instituto Politécnico de Lisboa,Instituto Superior de Contabilidade e Administração de Lisboa,1,0,20,7,35.0
121,9121,Engenharia Informática e de Computadores,3118,Instituto Politécnico de Lisboa,Instituto Superior de Engenharia de Lisboa,0,0,101,56,55.4
122,L272,Tecnologias para a Educação STEAM,3131,Instituto Politécnico do Porto,Escola Superior de Educação,0,0,2,2,100.0
123,A014,Jogos Digitais e Multimédia (ensino em inglês),3102,Instituto Politécnico de Leiria,Escola Superior de Tecnologia e Gestão,0,0,67,58,86.6
124,9890,Terapia da Fala,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,43,22,51.2
125,9878,Educação Musical,3131,Instituto Politécnico do Porto,Escola Superior de Educação,0,0,21,19,90.5
126,8015,Solicitadoria,3138,Instituto Politécnico do Porto,Escola Superior de Tecnologia e Gestão,1,0,7,3,42.9
127,L068,Ciências Biomédicas Laboratoriais,7220,Instituto Politécnico de Lisboa,Escola Superior de Tecnologia da Saúde de Lisboa,0,0,108,49,45.4
128,9096,Engenharia de Materiais,1518,Universidade de Lisboa,Instituto Superior Técnico,0,0,11,7,63.6
129,L158,Design de Comunicação e Audiovisual,3055,Instituto Politécnico de Castelo Branco,Escola Superior de Artes Aplicadas,0,0,28,25,89.3
130,9139,Filosofia,400,Universidade da Beira Interior,D,0,0,17,10,58.8
131,L068,Ciências Biomédicas Laboratoriais,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,86,38,44.2
132,9163,Gestão do Lazer e Animação Turística,7110,Escola Superior de Hotelaria e Turismo do Estoril,D,0,0,75,35,46.7
133,9210,Matemática Aplicada à Economia e à Gestão,203,Universidade do Algarve,Faculdade de Ciências e Tecnologia,0,0,6,6,100.0
134,9123,Engenharia Mecânica,3182,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Viseu,0,0,6,6,100.0
135,L303,"Informática Web, Móvel e na Nuvem",400,Universidade da Beira Interior,D,0,0,4,4,100.0
136,9242,Solicitadoria,3031,Instituto Politécnico do Cávado e do Ave,Escola Superior de Gestão,0,0,67,15,22.4
137,9504,Fisioterapia,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,217,55,25.3
138,L312,Cultura e Transformação Digital,1202,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências Humanas e Sociais,0,0,14,8,57.1
139,9011,Biologia,1204,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências da Vida e do Ambiente,0,0,17,13,76.5
140,9011,Biologia,203,Universidade do Algarve,Faculdade de Ciências e Tecnologia,0,0,32,23,71.9
141,9690,Biomecânica,3102,Instituto Politécnico de Leiria,Escola Superior de Tecnologia e Gestão,0,0,24,21,87.5
142,L344,Guias de Natureza e Património,140,Universidade dos Açores,Faculdade de Ciências Agrárias e do Ambiente,0,0,6,6,100.0
143,9990,Fiscalidade,3031,Instituto Politécnico do Cávado e do Ave,Escola Superior de Gestão,1,0,8,5,62.5
144,9921,Gestão das Atividades Turísticas,3139,Instituto Politécnico do Porto,Escola Superior de Hotelaria e Turismo,0,0,43,20,46.5
145,9081,Economia,604,Universidade de Évora,Escola de Ciências Sociais,0,0,17,14,82.4
146,L266,Engenharia Eletrotécnica e de Computadores,3102,Instituto Politécnico de Leiria,Escola Superior de Tecnologia e Gestão,0,1,1,1,100.0
147,9071,Design de Moda,400,Universidade da Beira Interior,D,0,0,60,22,36.7
148,L306,Relações Humanas e Comunicação Organizacional,3101,Instituto Politécnico de Leiria,Escola Superior de Educação e Ciências Sociais,1,0,8,7,87.5
149,8138,Terapia Ocupacional,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,47,26,55.3
150,L067,Fisiologia Clínica,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,39,25,64.1
151,9087,Engenharia Alimentar,3185,Instituto Politécnico de Viseu,Escola Superior Agrária de Viseu,0,0,1,1,100.0
152,9020,Ciência Política e Relações Internacionais,400,Universidade da Beira Interior,D,0,0,40,18,45.0
153,9145,Geografia e Planeamento Regional,902,Universidade Nova de Lisboa,Faculdade de Ciências Sociais e Humanas,0,0,54,41,75.9
154,9016,Biotecnologia,3154,Instituto Politécnico de Setúbal,Escola Superior de Tecnologia do Barreiro,0,0,41,28,68.3
155,L321,Matemática Aplicada e Tecnologias Digitais,6810,ISCTE,Instituto Universitário de Lisboa (Sintra),0,0,17,16,94.1
156,L021,Gestão Comercial,3186,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Lamego,0,0,15,15,100.0
157,8149,Dietética e Nutrição,7035,Universidade do Algarve,Escola Superior de Saúde,0,0,23,16,69.6
158,L246,Gestão do Património Cultural,3131,Instituto Politécnico do Porto,Escola Superior de Educação,0,0,26,15,57.7
159,9861,Saúde Ambiental,7210,Instituto Politécnico de Coimbra,Escola Superior de Tecnologia da Saúde de Coimbra,0,0,14,14,100.0
160,9113,Engenharia Física,1203,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências e Tecnologia,0,0,1,1,100.0
161,9104,Engenharia e Gestão Industrial,300,Universidade de Aveiro,D,0,0,100,53,53.0
162,9504,Fisioterapia,3013,Universidade de Aveiro,Escola Superior de Saúde de Aveiro,0,0,89,27,30.3
163,8288,Sistemas de Informação para Gestão,3138,Instituto Politécnico do Porto,Escola Superior de Tecnologia e Gestão,0,0,6,5,83.3
164,9099,Engenharia do Ambiente,1518,Universidade de Lisboa,Instituto Superior Técnico,0,0,21,15,71.4
165,9252,Tradução,902,Universidade Nova de Lisboa,Faculdade de Ciências Sociais e Humanas,0,0,97,52,53.6
166,9148,Gestão,3163,Instituto Politécnico de Viana do Castelo,Escola Superior de Tecnologia e Gestão,0,1,4,4,100.0
167,9016,Biotecnologia,400,Universidade da Beira Interior,D,0,0,15,15,100.0
168,9917,Estudos Portugueses,902,Universidade Nova de Lisboa,Faculdade de Ciências Sociais e Humanas,0,0,15,12,80.0
169,L091,Segurança do Trabalho e Ambiente,3138,Instituto Politécnico do Porto,Escola Superior de Tecnologia e Gestão,0,0,7,5,71.4
