,codigo_estabelecimento,codigo_curso,estabelecimento,escola,curso,regime_pos_laboral,regime_noturno,media_Nota,media_PI,media_12º,media_10º/11º
567,3124,9670,Instituto Politécnico de Portalegre,"Escola Superior de Tecnologia, Gestão e Design",Administração de Publicidade e Marketing,0,0,132.477,123.774,137.129,137.129
568,6800,8109,ISCTE,Instituto Universitário de Lisboa,Sociologia,1,0,137.714,132.514,142.914,142.914
569,7105,9789,Escola Superior Náutica Infante D. Henrique,D,Pilotagem,0,0,166.441,161.844,168.875,168.875
570,1110,9847,Universidade do Porto,Instituto de Ciências Biomédicas Abel Salazar,Medicina Veterinária,0,0,176.698,165.825,187.524,187.524
571,1503,9381,Universidade de Lisboa,Faculdade de Ciências,Estatística Aplicada,0,0,153.73,150.15,157.3,157.3
572,507,9219,Universidade de Coimbra,Faculdade de Psicologia e de Ciências da Educação,Psicologia,0,0,175.479,176.221,174.985,174.985
573,3062,L095,Instituto Politécnico de Coimbra,Escola Superior de Educação de Coimbra,Gastronomia,0,0,150.98,128.2,163.2,163.2
574,3134,9829,Instituto Politécnico do Porto,Instituto Superior de Contabilidade e Administração do Porto,Assessoria e Tradução,1,0,152.137,155.296,150.407,150.407
575,1000,9688,Universidade do Minho,D,Biologia Aplicada,0,0,161.06,145.149,171.667,171.667
576,3054,9242,Instituto Politécnico de Castelo Branco,Escola Superior de Gestão de Idanha-a-Nova,Solicitadoria,0,0,141.741,129.878,148.098,148.098
577,6800,9219,ISCTE,Instituto Universitário de Lisboa,Psicologia,0,0,173.562,177.103,170.021,170.021
578,1509,9847,Universidade de Lisboa,Faculdade de Medicina Veterinária,Medicina Veterinária,0,0,169.868,160.45,179.239,179.239
579,300,L254,Universidade de Aveiro,D,Multimédia e Tecnologias da Comunicação,0,0,160.218,153.372,164.782,164.782
580,1000,9006,Universidade do Minho,D,Arqueologia,0,0,155.86,154.975,156.45,156.45
581,3064,9104,Instituto Politécnico de Coimbra,Instituto Superior de Engenharia de Coimbra,Engenharia e Gestão Industrial,0,0,148.336,128.76,158.84,158.84
582,501,9209,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,Matemática,0,0,169.525,167.7,171.35,171.35
583,3095,9255,Instituto Politécnico da Guarda,Escola Superior de Turismo e Hotelaria,Turismo e Lazer,0,0,133.8,121.0,140.667,140.667
584,3063,L056,Instituto Politécnico de Coimbra,Instituto Superior de Contabilidade e Administração de Coimbra,Comércio e Relações Económicas Internacionais,0,0,152.567,144.5,156.861,156.861
585,1000,9397,Universidade do Minho,D,Ciências da Computação,0,0,159.161,150.948,164.636,164.636
586,903,9089,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,Engenharia Civil,0,0,149.791,134.543,159.957,159.957
587,520,9013,Universidade de Coimbra (Campus Figueira da Foz),D,Biologia Marinha,0,0,138.042,125.458,150.583,150.583
588,903,L286,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,Tecnologia Agro-Industrial,0,0,139.126,119.0,149.921,149.921
589,3042,8323,Instituto Politécnico de Bragança,Escola Superior de Educação de Bragança,Línguas Estrangeiras: Inglês e Espanhol,0,0,139.869,141.256,139.077,139.077
590,3042,8374,Instituto Politécnico de Bragança,Escola Superior de Educação de Bragança,Línguas para Relações Internacionais,0,0,143.308,139.164,145.508,145.508
591,3134,9870,Instituto Politécnico do Porto,Instituto Superior de Contabilidade e Administração do Porto,Contabilidade e Administração,1,0,141.337,122.0,151.706,151.706
592,300,9252,Universidade de Aveiro,D,Tradução,0,0,151.846,151.314,152.2,152.2
593,1109,9219,Universidade do Porto,Faculdade de Psicologia e de Ciências da Educação,Psicologia,0,0,173.086,167.398,178.732,178.732
594,3054,9254,Instituto Politécnico de Castelo Branco,Escola Superior de Gestão de Idanha-a-Nova,Turismo,0,0,133.92,125.267,138.533,138.533
595,3121,9773,Instituto Politécnico de Portalegre,Escola Superior de Educação e Ciências Sociais,Jornalismo e Comunicação,0,0,137.424,122.902,145.22,145.22
596,6800,9238,ISCTE,Instituto Universitário de Lisboa,Serviço Social,0,0,160.231,157.577,162.885,162.885
597,1506,9006,Universidade de Lisboa,Faculdade de Letras,Arqueologia,0,0,147.663,144.875,150.45,150.45
598,1000,9499,Universidade do Minho,D,Design e Marketing de Moda,0,0,179.54,181.9,177.967,177.967
599,903,9119,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,Engenharia Informática,0,0,172.405,173.109,171.935,171.935
600,3022,9853,Instituto Politécnico de Beja,Escola Superior de Educação,Educação Básica,0,0,134.975,117.766,144.219,144.219
601,1000,9205,Universidade do Minho,D,Marketing,0,0,172.698,172.644,172.733,172.733
602,501,9099,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,Engenharia do Ambiente,0,0,133.367,117.0,149.667,149.667
603,300,L221,Universidade de Aveiro,D,Engenharia Aeroespacial,0,0,186.384,181.98,189.32,189.32
604,1101,9554,Universidade do Porto,Faculdade de Ciências da Nutrição e da Alimentação,Ciências da Nutrição,0,0,159.126,143.362,174.846,174.846
605,1107,9006,Universidade do Porto,Faculdade de Letras,Arqueologia,0,0,156.779,152.0,159.966,159.966
606,3145,9808,Instituto Politécnico de Santarém,Escola Superior de Desporto de Rio Maior,Treino Desportivo,0,0,130.747,116.177,140.46,140.46
607,903,9126,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,Engenharia Química e Biológica,0,0,151.669,134.716,162.97,162.97
608,903,9096,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,Engenharia de Materiais,0,0,152.209,135.826,163.13,163.13
609,3105,9207,Instituto Politécnico de Leiria,Escola Superior de Turismo e Tecnologia do Mar,Marketing Turístico,0,0,126.455,114.552,132.828,132.828
610,3061,L009,Instituto Politécnico de Coimbra,Escola Superior Agrária de Coimbra,Ciências Florestais e Recursos Naturais,0,0,124.067,119.167,126.667,126.667
611,3243,L297,Instituto Politécnico de Tomar,Escola Superior de Tecnologia de Abrantes,Comunicação Social: Jornalismo e Comunicação Empresarial,0,0,135.939,125.5,141.526,141.526
612,1107,9143,Universidade do Porto,Faculdade de Letras,Geografia,0,0,160.234,155.614,163.314,163.314
613,3113,9010,Instituto Politécnico de Lisboa,Escola Superior de Comunicação Social,Audiovisual e Multimédia,0,0,160.803,157.865,163.742,163.742
614,1105,9123,Universidade do Porto,Faculdade de Engenharia,Engenharia Mecânica,0,0,183.779,179.274,188.238,188.238
615,1519,9098,Universidade de Lisboa,Instituto Superior Técnico (Tagus Park),Engenharia de Telecomunicações e Informática,0,0,148.35,136.545,160.091,160.091
616,3022,9010,Instituto Politécnico de Beja,Escola Superior de Educação,Audiovisual e Multimédia,0,0,136.597,118.531,146.281,146.281
617,3061,L024,Instituto Politécnico de Coimbra,Escola Superior Agrária de Coimbra,Tecnologia e Gestão Ambiental,0,0,125.044,107.333,134.556,134.556
618,3083,L209,Universidade do Algarve,Instituto Superior de Engenharia,Engenharia Eletrotécnica e de Computadores,0,0,151.636,142.636,156.455,156.455
