,curso,regime,estabelecimento,Nota_minima
261,Design Gráfico e Multimédia,Pós-Laboral,Instituto Politécnico de Leiria,123.2
262,Design Industrial,Diurno,Instituto Politécnico de Leiria,124.5
263,Design Industrial,Diurno,Instituto Politécnico do Cávado e do Ave,129.0
264,Design Industrial,Diurno,Universidade da Beira Interior,118.4
265,Design Multimédia,Diurno,Universidade da Beira Interior,133.9
266,Design Sustentável,Diurno,Universidade de Trás-os-Montes e Alto Douro,128.0
267,Design de Ambientes,Diurno,Instituto Politécnico de Viana do Castelo,132.5
268,Design de Animação,Diurno,Instituto Politécnico de Portalegre,128.0
269,Design de Comunicação,Diurno,Instituto Politécnico de Portalegre,119.0
270,Design de Comunicação,Diurno,Universidade de Lisboa,133.5
271,Design de Comunicação,Diurno,Universidade do Algarve,139.5
272,Design de Comunicação,Diurno,Universidade do Porto,163.0
273,Design de Comunicação e Audiovisual,Diurno,Instituto Politécnico de Castelo Branco,117.4
274,Design de Equipamento,Diurno,Universidade de Lisboa,146.5
275,Design de Equipamento e Ambientes,Diurno,Instituto Politécnico da Guarda,117.9
276,Design de Espaços,Diurno,Instituto Politécnico de Leiria,127.3
277,Design de Interiores e Equipamento,Diurno,Instituto Politécnico de Castelo Branco,129.9
278,Design de Jogos Digitais,Diurno,Instituto Politécnico de Bragança,115.0
279,Design de Moda,Diurno,Universidade da Beira Interior,141.0
280,Design de Moda,Diurno,Universidade de Lisboa,130.0
281,Design de Moda e Têxtil,Diurno,Instituto Politécnico de Castelo Branco,117.4
282,Design de Produto,Diurno,Universidade do Minho,151.5
283,Design de Produto - Cerâmica e Vidro,Diurno,Instituto Politécnico de Leiria,133.0
284,Design de Produto e Tecnologia,Diurno,Universidade de Aveiro,140.8
285,Design do Produto,Diurno,Instituto Politécnico de Viana do Castelo,127.7
286,Design e Marketing de Moda,Diurno,Universidade do Minho,136.0
287,Design e Multimédia,Diurno,Universidade de Coimbra,129.5
288,Design e Tecnologia das Artes Gráficas,Diurno,Instituto Politécnico de Tomar,121.2
289,Desporto,Diurno,Instituto Politécnico da Guarda,115.8
290,Desporto,Diurno,Instituto Politécnico de Beja,123.6
291,Desporto,Diurno,Instituto Politécnico de Bragança,112.9
292,Desporto,Diurno,Instituto Politécnico de Setúbal,125.6
293,Desporto,Diurno,Instituto Politécnico do Cávado e do Ave,127.7
294,Desporto,Diurno,Instituto Politécnico do Porto,134.8
295,Desporto,Diurno,Universidade do Algarve,128.2
296,Desporto de Natureza e Turismo Ativo,Diurno,Instituto Politécnico de Santarém,110.6
297,Desporto e Atividade Física,Diurno,Instituto Politécnico de Castelo Branco,117.1
298,Desporto e Atividade Física,Diurno,Instituto Politécnico de Viseu,128.8
299,Desporto e Bem-Estar,Diurno,Instituto Politécnico de Leiria,131.1
300,Desporto e Lazer,Diurno,Instituto Politécnico de Coimbra,133.2
301,Desporto e Lazer,Diurno,Instituto Politécnico de Viana do Castelo,121.4
302,"Desporto, Condição Física e Saúde",Diurno,Instituto Politécnico da Guarda,119.7
303,"Desporto, Condição Física e Saúde",Diurno,Instituto Politécnico de Santarém,116.0
304,Dietética e Nutrição,Diurno,Instituto Politécnico de Bragança,106.0
305,Dietética e Nutrição,Diurno,Instituto Politécnico de Coimbra,133.3
306,Dietética e Nutrição,Diurno,Instituto Politécnico de Leiria,124.6
307,Dietética e Nutrição,Diurno,Instituto Politécnico de Lisboa,129.0
308,Dietética e Nutrição,Diurno,Universidade do Algarve,129.2
309,Direito,Diurno,Universidade Nova de Lisboa,135.2
310,Direito,Diurno,Universidade de Coimbra,111.5
311,Direito,Diurno,Universidade de Lisboa,125.8
312,Direito,Diurno,Universidade do Minho,120.2
313,Direito,Diurno,Universidade do Porto,140.0
314,Direito,Pós-Laboral,Universidade de Lisboa,122.5
315,Direito,Pós-Laboral,Universidade do Minho,150.0
316,Direção e Gestão Hoteleira,Diurno,Escola Superior de Hotelaria e Turismo do Estoril,133.2
317,Direção e Gestão Hoteleira,Diurno,Instituto Politécnico de Bragança,113.2
318,Direção e Gestão Hoteleira,Diurno,Universidade da Madeira,126.0
319,Direção e Gestão Hoteleira,Pós-Laboral,Escola Superior de Hotelaria e Turismo do Estoril,126.4
320,Economia,Diurno,ISCTE,166.8
321,Economia,Diurno,Universidade Nova de Lisboa,141.0
322,Economia,Diurno,Universidade da Beira Interior,128.5
323,Economia,Diurno,Universidade da Madeira,104.9
324,Economia,Diurno,Universidade de Aveiro,126.4
325,Economia,Diurno,Universidade de Coimbra,148.5
326,Economia,Diurno,Universidade de Lisboa,139.8
327,Economia,Diurno,Universidade de Trás-os-Montes e Alto Douro,138.5
328,Economia,Diurno,Universidade de Évora,134.5
329,Economia,Diurno,Universidade do Algarve,127.2
330,Economia,Diurno,Universidade do Minho,166.2
331,Economia,Diurno,Universidade do Porto,170.0
332,Economia,Diurno,Universidade dos Açores,151.0
333,Economia (ensino em Inglês),Diurno,Universidade de Lisboa,171.0
334,Educação,Diurno,Universidade do Minho,132.0
335,Educação,Pós-Laboral,Universidade do Minho,138.8
336,Educação Ambiental,Diurno,Instituto Politécnico de Bragança,113.6
337,Educação Ambiental e Turismo de Natureza,Diurno,Instituto Politécnico de Santarém,111.8
338,Educação Básica,Diurno,Instituto Politécnico da Guarda,106.3
339,Educação Básica,Diurno,Instituto Politécnico de Beja,128.6
340,Educação Básica,Diurno,Instituto Politécnico de Bragança,113.1
341,Educação Básica,Diurno,Instituto Politécnico de Castelo Branco,118.1
342,Educação Básica,Diurno,Instituto Politécnico de Coimbra,129.1
343,Educação Básica,Diurno,Instituto Politécnico de Leiria,129.9
344,Educação Básica,Diurno,Instituto Politécnico de Lisboa,121.0
345,Educação Básica,Diurno,Instituto Politécnico de Portalegre,118.0
346,Educação Básica,Diurno,Instituto Politécnico de Santarém,110.5
347,Educação Básica,Diurno,Instituto Politécnico de Setúbal,118.6
348,Educação Básica,Diurno,Instituto Politécnico de Viana do Castelo,130.7
349,Educação Básica,Diurno,Instituto Politécnico de Viseu,118.2
350,Educação Básica,Diurno,Instituto Politécnico do Porto,118.7
351,Educação Básica,Diurno,Universidade da Madeira,122.9
352,Educação Básica,Diurno,Universidade de Aveiro,121.0
353,Educação Básica,Diurno,Universidade de Trás-os-Montes e Alto Douro,120.9
354,Educação Básica,Diurno,Universidade de Évora,121.4
355,Educação Básica,Diurno,Universidade do Algarve,120.4
356,Educação Básica,Diurno,Universidade do Minho,137.0
357,Educação Básica,Diurno,Universidade dos Açores,128.2
358,Educação Básica,Pós-Laboral,Instituto Politécnico de Lisboa,131.0
359,Educação Física e Desporto,Diurno,Universidade da Madeira,141.2
360,Educação Musical,Diurno,Instituto Politécnico do Porto,125.0
361,Educação Social,Diurno,Instituto Politécnico de Bragança,106.7
362,Educação Social,Diurno,Instituto Politécnico de Leiria,107.5
363,Educação Social,Diurno,Instituto Politécnico de Portalegre,116.6
